mep_id,name,country,party
"256946","Christine Singer","Germany","Renew Europe Group"
"261797","Christophe Bay","France","Patriots for Europe Group"
"245018","Christophe Clergeau","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256919","Christophe Gomart","France","Group of the European People's Party (Christian Democrats)"
"197557","Christophe Grudler","France","Renew Europe Group"
"257298","Ciaran Mullooly","Ireland","Renew Europe Group"
"256906","Claire Fita","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257130","Cristina Guarda","Italy","Group of the Greens/European Free Alliance"
"197719","Cristina Maestre","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"260724","Csaba Dömötör","Hungary","Patriots for Europe Group"
"124722","Csaba Molnár","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257301","Cynthia Ní Mhurchú","Ireland","Renew Europe Group"
"256918","Céline Imart","France","Group of the European People's Party (Christian Democrats)"
"256807","Dainius Žalimas","Lithuania","Renew Europe Group"
"197439","Damian Boeselager","Germany","Group of the Greens/European Free Alliance"
"197574","Damien Carême","France",""
"257110","Dan Barna","Romania","Renew Europe Group"
"124784","Dan Nica","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256934","Daniel Attard","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"125012","Daniel Buda","Romania","Group of the European People's Party (Christian Democrats)"
"28219","Daniel Caspary","Germany","Group of the European People's Party (Christian Democrats)"
"106936","Daniel Freund","Germany","Group of the Greens/European Free Alliance"
"257058","Daniel Obajtek","Poland","European Conservatives and Reformists Group"
"257145","Daniele Polato","Italy","European Conservatives and Reformists Group"
"257155","Danilo Della Valle","Italy",""
"256847","Danuše Nerudová","Czech Republic","Group of the European People's Party (Christian Democrats)"
"257111","Dario Nardella","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"124813","Dario Tamburrano","Italy",""
"257031","Dariusz Joński","Poland","Group of the European People's Party (Christian Democrats)"
"28122","David Casa","Malta","Group of the European People's Party (Christian Democrats)"
"197503","David Cormand","France","Group of the Greens/European Free Alliance"
"124806","David McAllister","Germany","Group of the European People's Party (Christian Democrats)"
"119435","Davor Ivo Stier","Croatia","Group of the European People's Party (Christian Democrats)"
"197440","Delara Burkhardt","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"239260","Denis Nesci","Italy","European Conservatives and Reformists Group"
"188945","Dennis Radtke","Germany","Group of the European People's Party (Christian Democrats)"
"257091","Dick Erixon","Sweden","European Conservatives and Reformists Group"
"257021","Diego Solier","Spain","European Conservatives and Reformists Group"
"256950","Dimitris Tsiodras","Greece","Group of the European People's Party (Christian Democrats)"
"97399","Dirk Gotink","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)"
