name,country,party,national_party,mep_id,attendance_pct,votes_cast,votes_total_period,special_role,sick_leave,partial_term
Elena Donazzan,Italy,European Conservatives and Reformists (ECR),National Alliance,257095,82.4,964,1170,,False,False
Elena Kountoura,Greece,The Left in the European Parliament (GUE/NGL),SYRIZA,197699,64.7,757,1170,,False,False
Elena Nevado del Campo,Spain,European People's Party (EPP),People's Party,257039,78.1,914,1170,,False,False
Elena Yoncheva,Bulgaria,Bulgarian Socialist Party,Bulgarian Socialist Party,197842,49.7,582,1170,,False,False
Eleonora Meleti,Greece,European People's Party (EPP),New Democracy,256943,78.4,917,1170,,False,False
Elio Di Rupo,Belgium,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,1294,98.2,1149,1170,,False,False
Elisabeth Dieringer-Granza,Austria,Identity and Democracy (ID),Austrian Freedom Party,256834,0,0,0,,False,False
Elisabeth Grossmann,Austria,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Austria,256830,99.6,1165,1170,,False,False
Elisabetta Gualmini,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,197618,86.5,1012,1170,,False,False
Elsi Katainen,Finland,Renew Europe (RE),Centre Party,191693,92,1076,1170,,False,False
Emil Radev,Bulgaria,European People's Party (EPP),Citizens for European Development of Bulgaria,124850,81.9,958,1170,,False,False
Emma Fourreau,France,The Left in the European Parliament (GUE/NGL),La France insoumise,256913,76.2,892,1170,,False,False
Emma Rafowicz,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,256902,66.5,778,1170,,False,False
Emma Wiesner,Sweden,Renew Europe (RE),Centre Party,214839,80.9,947,1170,,False,False
Emmanouíl Fragkos,Greece,European Conservatives and Reformists (ECR),Greek Solution,198490,0,0,0,,False,False
Engin Eroğlu,Germany,European Conservatives and Reformists (ECR),Free Voters,197430,0,0,0,,False,False
Enikő Győri,Hungary,The Patriots for Europe (PfE),Fidesz,96830,91.2,1067,1170,,False,False
Erik Kaliňák,Slovakia,Progressive Alliance of Socialists and Democrats (S&D),Direction – Social Democracy,257007,78.8,922,1170,,False,False
Erik Marquardt,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197462,98.6,1154,1170,,False,False
Ernő Schaller-Baross,Hungary,The Patriots for Europe (PfE),Fidesz,213330,72.7,851,1170,,False,False
Esteban González Pons,Spain,European People's Party (EPP),People's Party,125027,97.3,1138,1170,,False,False
Estelle Ceulemans,Belgium,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256880,98.8,1156,1170,,False,False
Estrella Galán,Spain,Sumar,Sumar,257012,86.4,1011,1170,,False,False
Eszter Lakos,Hungary,European People's Party (EPP),Respect and Freedom Party,256865,71.5,837,1170,,False,False
Eugen Tomac,Romania,European People's Party (EPP),European People's Party,197672,79.1,926,1170,,False,False
Eva Maydell,Bulgaria,European People's Party (EPP),Citizens for European Development of Bulgaria,98341,88.6,1037,1170,,False,False
Evelyn Regner,Austria,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Austria,96998,98.2,1149,1170,,False,False
Evin Incir,Sweden,Progressive Alliance of Socialists and Democrats (S&D),Swedish Social Democratic Party,197392,99.4,1163,1170,,False,False
Ewa Kopacz,Poland,European People's Party (EPP),United People's Party,197525,99.8,1168,1170,,False,False
Ewa Zajączkowska-Hernik,Poland,Europe of Sovereign Nations (ESN),Confederation,257069,70.7,827,1170,,False,False
Fabienne Keller,France,Renew Europe (RE),Union for a Popular Movement,22858,95,1111,1170,,False,False
Fabio De Masi,Germany,Sahra Wagenknecht Alliance,Sahra Wagenknecht Alliance,124858,99.5,1164,1170,,False,False
Fabrice Leggeri,France,The Patriots for Europe (PfE),National Rally,256872,95,1111,1170,,False,False
Fernand Kartheiser,Luxembourg,Alternative Democratic Reform Party,Alternative Democratic Reform Party,256900,99.2,1161,1170,,False,False
Fernando Navarrete Rojas,Spain,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257027,97.9,1145,1170,,False,False
Fidias Panayiotou,Cyprus,Non-attached (NI),independent politician,256989,97.4,1139,1170,,False,False
Filip Turek,Czech Republic,The Patriots for Europe (PfE),Patriots for Europe Group,256850,82.2,962,1170,,False,False
Flavio Tosi,Italy,European People's Party (EPP),Act!,124795,87.4,1023,1170,,False,False
France Jamet,France,The Patriots for Europe (PfE),National Rally,189065,99.8,1168,1170,,False,False
Francesco Torselli,Italy,European Conservatives and Reformists (ECR),Brothers of Italy,257163,95,1112,1170,,False,False
Francesco Ventola,Italy,European Conservatives and Reformists (ECR),The People of Freedom,257099,98.5,1152,1170,,False,False
Francisco Assis,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,28307,86.2,1009,1170,,False,False
Francisco José Millán Mon,Spain,European People's Party (EPP),People's Party,28400,96.4,1128,1170,,False,False
François Kalfon,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,256908,92.4,1081,1170,,False,False
François-Xavier Bellamy,France,European People's Party (EPP),The Republicans,197534,96.2,1125,1170,,False,False
Fredis Beleris,Greece,European People's Party (EPP),Together We Win,256947,77.4,905,1170,,False,False
Friedrich Pürner,Germany,,,256969,99.5,1164,1170,,False,False
Fulvio Martusciello,Italy,European People's Party (EPP),Forza Italia,124828,51.6,604,1170,,False,False
Gabriela Firea,Romania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,257098,35.7,418,1170,,False,False
Gabriele Bischoff,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,197435,97.9,1146,1170,,False,False
Gabriella Gerzsenyi,Hungary,European People's Party (EPP),Respect and Freedom Party,256866,70.7,827,1170,,False,False
Galato Alexandraki,Greece,European Conservatives and Reformists (ECR),Greek Solution,256956,64.8,758,1170,,False,False
Geadis Geadi,Cyprus,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,256986,95.7,1120,1170,,False,False
Georg Mayer,Austria,The Patriots for Europe (PfE),Austrian Freedom Party,38511,90.3,1056,1170,,False,False
Georgiana Teodorescu,Romania,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257116,90.6,1060,1170,,False,False
Gerald Hauser,Austria,The Patriots for Europe (PfE),Austrian Freedom Party,256842,99.4,1163,1170,,False,False
Gerben-Jan Gerbrandy,Netherlands,Renew Europe (RE),Democrats 66,96940,99.5,1164,1170,,False,False
Gerolf Annemans,Belgium,The Patriots for Europe (PfE),Flemish Interest,124973,90.4,1058,1170,,False,False
Gheorghe Cârciu,Romania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,257100,71.4,835,1170,,False,False
