name,country,party,national_party,mep_id,attendance_pct,votes_cast,votes_total_period,special_role,sick_leave,partial_term
Pasquale Tridico,Italy,,,257133,71.1,832,1170,,False,False
Patryk Jaki,Poland,European Conservatives and Reformists (ECR),Sovereign Poland,197516,95.1,1113,1170,,False,False
Paulius Saudargas,Lithuania,European People's Party (EPP),Homeland Union – Lithuanian Christian Democrats,256809,99.3,1162,1170,,False,False
Paulo Cunha,Portugal,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257078,99,1158,1170,,False,False
Paulo do Nascimento Cabral,Portugal,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257048,82.3,963,1170,,False,False
Pekka Toveri,Finland,European People's Party (EPP),National Coalition Party,256804,70.8,828,1170,,False,False
Per Clausen,Denmark,The Left in the European Parliament (GUE/NGL),Red–Green Alliance,257023,92.2,1079,1170,,False,False
Peter Agius,Malta,European People's Party (EPP),Group of the European People's Party (Christian Democrats),113523,85.4,999,1170,,False,False
Petr Bystron,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,256928,91.6,1072,1170,,False,False
Petra Steger,Austria,The Patriots for Europe (PfE),Austrian Freedom Party,220897,93,1088,1170,,False,False
Petras Auštrevičius,Lithuania,Renew Europe (RE),Liberal Movement,124766,99.6,1165,1170,,False,False
Petras Gražulis,Lithuania,Europe of Sovereign Nations (ESN),Order and Justice,256808,76.2,891,1170,,False,False
Petŭr Volgin,Bulgaria,,,257260,0,0,0,,False,False
Philippe Olivier,France,The Patriots for Europe (PfE),National Rally,197687,93.6,1095,1170,,False,False
Pierfrancesco Maran,Italy,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257727,99.5,1164,1170,,False,False
Pierre Jouvet,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,256898,83.1,972,1170,,False,False
Pierre Pimpie,France,The Patriots for Europe (PfE),Patriots for Europe Group,256893,99.7,1167,1170,,False,False
Pierre-Romain Thionnet,France,The Patriots for Europe (PfE),National Rally,200345,92.2,1079,1170,,False,False
Pietro Fiocchi,Italy,European Conservatives and Reformists (ECR),Brothers of Italy,197607,97.1,1136,1170,,False,False
Piotr Müller,Poland,European Conservatives and Reformists (ECR),Law and Justice,257080,88.6,1037,1170,,False,False
Pál Szekeres,Hungary,The Patriots for Europe (PfE),Fidesz,256855,66.3,776,1170,,False,False
Pär Holmgren,Sweden,Greens/European Free Alliance (Greens/EFA),Green Party,197398,99.5,1164,1170,,False,False
Péter Magyar,Hungary,European People's Party (EPP),Respect and Freedom Party,256868,40.3,472,1170,,False,False
Rachel Blom,Netherlands,The Patriots for Europe (PfE),Patriots for Europe Group,256998,99.8,1168,1170,,False,False
Rada Laykova,Bulgaria,Europe of Sovereign Nations (ESN),Europe of Sovereign Nations Group,257262,97.6,1142,1170,,False,False
Radan Kanev,Bulgaria,European People's Party (EPP),Democrats for a Strong Bulgaria,197839,61.4,718,1170,,False,False
Raffaele Stancanelli,Italy,The Patriots for Europe (PfE),Brothers of Italy,197825,93.8,1097,1170,,False,False
Raffaele Topo,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257148,86.5,1012,1170,,False,False
Ralf Seekatz,Germany,European People's Party (EPP),Christian Democratic Union,197425,87.6,1025,1170,,False,False
Raphaël Glucksmann,France,Progressive Alliance of Socialists and Democrats (S&D),Place publique,197694,78.8,922,1170,,False,False
Raquel García Hermida-van der Walle,Netherlands,Renew Europe (RE),Democrats 66,256970,99.7,1167,1170,,False,False
Rasa Juknevičienė,Lithuania,European People's Party (EPP),Homeland Union – Lithuanian Christian Democrats,197840,73.9,865,1170,,False,False
Rasmus Andresen,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197448,98.5,1152,1170,,False,False
Rasmus Nordqvist,Denmark,Greens/European Free Alliance (Greens/EFA),Green Left,257044,99.4,1163,1170,,False,False
Raúl de la Hoz Quintano,Spain,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257030,89.1,1043,1170,,False,False
Regina Doherty,Ireland,European People's Party (EPP),Fine Gael,257237,91,1065,1170,,False,False
Reinhold Lopatka,Austria,European People's Party (EPP),Austrian People's Party,220896,97.7,1143,1170,,False,False
Reinier van Lanschot,Netherlands,Greens/European Free Alliance (Greens/EFA),Volt Netherlands,256978,93.3,1092,1170,,False,False
Reinis Pozņaks,Latvia,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,256907,96,1123,1170,,False,False
René Aust,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,256929,88.7,1038,1170,,False,False
René Repasi,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,229839,83.9,982,1170,,False,False
Rihards Kols,Latvia,European Conservatives and Reformists (ECR),National Alliance,220871,98.2,1149,1170,,False,False
Riho Terras,Estonia,European People's Party (EPP),Isamaa,204449,97,1135,1170,,False,False
Rima Hassan,France,The Left in the European Parliament (GUE/NGL),La France insoumise,256912,38.2,447,1170,,False,False
Robert Biedroń,Poland,Progressive Alliance of Socialists and Democrats (S&D),Social Democracy of the Republic of Poland,197498,99.5,1164,1170,,False,False
Roberta Metsola,Malta,European People's Party (EPP),Nationalist Party,118859,0,0,1170,,False,True
Roberto Vannacci,Italy,The Patriots for Europe (PfE),Patriots for Europe Group,257125,98.7,1155,1170,,False,False
Roberts Zīle,Latvia,European Conservatives and Reformists (ECR),National Alliance,28615,47.2,552,1170,,False,False
Rody Tolassy,France,The Patriots for Europe (PfE),National Rally,256888,90.2,1055,1170,,False,False
Roman Haider,Austria,The Patriots for Europe (PfE),Austrian Freedom Party,198176,99.7,1166,1170,,False,False
Romana Jerković,Croatia,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Croatia,112747,97.4,1139,1170,,False,False
Romana Tomc,Slovenia,European People's Party (EPP),Slovenian Democratic Party,125104,98.9,1157,1170,,False,False
Rudi Kennes,Belgium,,,256890,98.6,1154,1170,,False,False
Ruggero Razza,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257104,80.6,943,1170,,False,False
Ruth Firmenich,Germany,Sahra Wagenknecht Alliance,Sahra Wagenknecht Alliance,25758,98.6,1154,1170,,False,False
Sabine Verheyen,Germany,European People's Party (EPP),Christian Democratic Union,96756,65.4,765,1170,,False,False
Sabrina Repp,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,256935,94.8,1109,1170,,False,False
Sakis Arnaoutoglou,Greece,Progressive Alliance of Socialists and Democrats (S&D),PASOK – Movement for Change,256829,98.4,1151,1170,,False,False
Salvatore De Meo,Italy,European People's Party (EPP),The People of Freedom,204333,84.3,986,1170,,False,False
Sander Smit,Netherlands,European People's Party (EPP),Christian Democratic Appeal,125325,98.5,1152,1170,,False,False
Sandra Gómez López,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,256997,93.4,1093,1170,,False,False
Sandra Kalniete,Latvia,European People's Party (EPP),Unity,96934,91,1065,1170,,False,False
Sandro Gozi,France,Renew Europe (RE),Democratic Party,204419,98.9,1157,1170,,False,False
Sandro Ruotolo,Italy,Progressive Alliance of Socialists and Democrats (S&D),independent politician,257170,88.4,1034,1170,,False,False
Sarah Knafo,France,Europe of Sovereign Nations (ESN),Reconquête,256924,91.5,1070,1170,,False,False
Saraswati Matthieu,Belgium,Renew Europe (RE),Groen,208722,0,0,0,,False,False
Saskia Bricmont,Belgium,Greens/European Free Alliance (Greens/EFA),Ecolo,197470,93.6,1095,1170,,False,False
Sebastiaan Stöteler,Netherlands,The Patriots for Europe (PfE),Party for Freedom,256991,65.8,770,1170,,False,False
Sebastian Everding,Germany,,,256961,85.6,1002,1170,,False,False
Sebastian Kruis,Netherlands,The Patriots for Europe (PfE),Patriots for Europe Group,256996,94.9,1110,1170,,False,False
Sebastian Tynkkynen,Finland,European Conservatives and Reformists (ECR),Finns Party,256806,81.5,954,1170,,False,False
Sebastião Bugalho,Portugal,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257081,69.6,814,1170,,False,False
Sergey Lagodinsky,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197460,54.8,641,1170,,False,False
Sergio Berlato,Italy,European Conservatives and Reformists (ECR),National Alliance,4746,99.8,1168,1170,,False,False
Seán Kelly,Ireland,European People's Party (EPP),Fine Gael,96668,100,1170,1170,,False,False
Sibylle Berg,Germany,,,256960,44.4,520,1170,,False,False
Siegbert Droese,Germany,European Conservatives and Reformists (ECR),Alternative for Germany,256949,0,0,0,,False,False
Sigrid Friis Frederiksen,Denmark,Renew Europe (RE),Danish Social Liberal Party,257038,0,0,0,,False,False
Silvia Sardone,Italy,The Patriots for Europe (PfE),The People of Freedom,197578,91.5,1070,1170,,False,False
Sofie Eriksson,Sweden,Progressive Alliance of Socialists and Democrats (S&D),Swedish Social Democratic Party,257088,99.7,1167,1170,,False,False
Sophia Kircher,Austria,European People's Party (EPP),Austrian People's Party,256831,81.7,956,1170,,False,False
Sophie Wilmès,Belgium,Renew Europe (RE),Reformist Movement,220801,23.8,278,1170,,False,False
Stanislav Stoyanov,Bulgaria,Europe of Sovereign Nations (ESN),Europe of Sovereign Nations Group,257255,95.7,1120,1170,,False,False
Stanisław Tyszka,Poland,Europe of Sovereign Nations (ESN),Direct Democracy,257062,41.4,484,1170,,False,False
Stefan Berger,Germany,European People's Party (EPP),Christian Democratic Union,197410,88.1,1031,1170,,False,False
Stefan Köhler,Germany,European People's Party (EPP),Christian Social Union of Bavaria,256973,99.3,1162,1170,,False,False
Stefano Bonaccini,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257108,94.8,1109,1170,,False,False
Stefano Cavedagna,Italy,European Conservatives and Reformists (ECR),Brothers of Italy,257096,88.3,1033,1170,,False,False
Stephen Nikola Bartulica,Croatia,European Conservatives and Reformists (ECR),Home and National Rally,257000,90.9,1063,1170,,False,False
Stine Bosse,Denmark,Renew Europe (RE),Moderate Party,257020,97.9,1145,1170,,False,False
Stéphanie Yon-Courtin,France,Renew Europe (RE),The Republicans,197581,93.2,1091,1170,,False,False
Sunčana Glavak,Croatia,European People's Party (EPP),Croatian Democratic Union,202036,94.1,1101,1170,,False,False
Susana Solís Pérez,Spain,European People's Party (EPP),Ciudadanos,197784,89.7,1050,1170,,False,False
Susanna Ceccardi,Italy,The Patriots for Europe (PfE),Lega per Salvini Premier,197786,60.5,708,1170,,False,False
Sven Mikser,Estonia,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,197497,98.6,1154,1170,,False,False
Sven Simon,Germany,European People's Party (EPP),Christian Democratic Union,197426,63.6,744,1170,,False,False
Svenja Hahn,Germany,Renew Europe (RE),Free Democratic Party,197444,80.5,942,1170,,False,False
Sérgio Gonçalves,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257079,91.5,1071,1170,,False,False
Sérgio Humberto,Portugal,European People's Party (EPP),Social Democratic Party,257065,88.4,1034,1170,,False,False
Séverine Werbrouck,France,The Patriots for Europe (PfE),Patriots for Europe Group,261796,99.4,1163,1170,,False,False
Tamás Deutsch,Hungary,The Patriots for Europe (PfE),Fidesz,96826,72.1,843,1170,,False,False
Taner Kabilov,Bulgaria,,,257256,88.4,1034,1170,,False,False
Terry Reintke,Germany,Greens/European Free Alliance (Greens/EFA),Federation of Young European Greens,103381,97.4,1140,1170,,False,False
Thierry Mariani,France,The Patriots for Europe (PfE),The Popular Right,197623,79,924,1170,,False,False
Thijs Reuten,Netherlands,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,218347,97.9,1145,1170,,False,False
Thomas Bajada,Malta,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256936,98,1147,1170,,False,False
Thomas Geisel,Germany,Sahra Wagenknecht Alliance,Sahra Wagenknecht Alliance,256939,93.4,1093,1170,,False,False
Thomas Pellerin-Carlin,France,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256903,96.9,1134,1170,,False,False
Thomas Waitz,Austria,Greens/European Free Alliance (Greens/EFA),The Greens – The Green Alternative,190464,98.8,1156,1170,,False,False
Tiago Moreira de Sá,Portugal,The Patriots for Europe (PfE),Chega,257054,96.4,1128,1170,,False,False
Tiemo Wölken,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,185619,74.6,873,1170,,False,False
Tilly Metz,Luxembourg,Greens/European Free Alliance (Greens/EFA),The Greens,193292,99.4,1163,1170,,False,False
Tineke Strik,Netherlands,Greens/European Free Alliance (Greens/EFA),GroenLinks,197772,98.1,1148,1170,,False,False
Tobias Cremer,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,256938,93.2,1090,1170,,False,False
Tobiasz Bocheński,Poland,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257073,98.8,1156,1170,,False,False
Tom Berendsen,Netherlands,European People's Party (EPP),Christian Democratic Appeal,197778,99.9,1169,1170,,False,False
Tom Vandendriessche,Belgium,The Patriots for Europe (PfE),Flemish Interest,185771,99.5,1164,1170,,False,False
Tomas Tobé,Sweden,European People's Party (EPP),Moderate Party,197402,99.4,1163,1170,,False,False
Tomasz Buczek,Poland,The Patriots for Europe (PfE),Patriots for Europe Group,257072,98.8,1156,1170,,False,False
Tomasz Froelich,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,190574,96.2,1126,1170,,False,False
Tomislav Sokol,Croatia,European People's Party (EPP),Croatian Democratic Union,197417,97,1135,1170,,False,False
Tomáš Kubín,Czech Republic,The Patriots for Europe (PfE),ANO 2011,261038,94,1100,1170,,False,False
Tomáš Zdechovský,Czech Republic,European People's Party (EPP),KDU-ČSL,124713,98.5,1152,1170,,False,False
Ton Diepeveen,Netherlands,The Patriots for Europe (PfE),Patriots for Europe Group,256981,80.3,939,1170,,False,False
Tonino Picula,Croatia,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Croatia,112744,97.7,1143,1170,,False,False
Tsvetelina Penkova,Bulgaria,Progressive Alliance of Socialists and Democrats (S&D),Bulgarian Socialist Party,197845,74.6,873,1170,,False,False
Udo Bullmann,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,4267,67.4,789,1170,,False,False
Urmas Paet,Estonia,Renew Europe (RE),Estonian Reform Party,129073,98.1,1148,1170,,False,False
Valentina Palmisano,Italy,Renew Europe (RE),Five Star Movement,257135,90.7,1061,1170,,False,False
Valérie Deloge,France,The Patriots for Europe (PfE),Patriots for Europe Group,256886,94.6,1107,1170,,False,False
Valérie Devaux,France,Renew Europe (RE),Renew Europe Group,256870,94.3,1103,1170,,False,False
Valérie Hayer,France,Renew Europe (RE),Renaissance,135511,99.1,1159,1170,,False,False
Vasile Dîncu,Romania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,33998,86.2,1008,1170,,False,False
Verena Mertens,Germany,European People's Party (EPP),Christian Democratic Union,256974,72.2,845,1170,,False,False
Veronika Cifrová Ostrihoňová,Slovakia,Renew Europe (RE),Renew Europe Group,257014,99,1158,1170,,False,False
Veronika Vrecionová,Czech Republic,European Conservatives and Reformists (ECR),Civic Democratic Party,197552,98.4,1151,1170,,False,False
Victor Negrescu,Romania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,88882,90.7,1061,1170,,False,False
Viktória Ferenc,Hungary,The Patriots for Europe (PfE),Fidesz,256857,89.8,1051,1170,,False,False
Vilija Blinkevičiūtė,Lithuania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Lithuania,96681,99.2,1161,1170,,False,False
Vilis Krištopans,Latvia,The Patriots for Europe (PfE),Union of Greens and Farmers,256909,96.2,1126,1170,,False,False
Ville Niinistö,Finland,Greens/European Free Alliance (Greens/EFA),Green League,197802,92.1,1078,1170,,False,False
Villy Søvndal,Denmark,Greens/European Free Alliance (Greens/EFA),Green Left,111412,92.6,1084,1170,,False,False
Virginie Joron,France,The Patriots for Europe (PfE),National Rally,197627,98.2,1149,1170,,False,False
Virginijus Sinkevičius,Lithuania,Greens/European Free Alliance (Greens/EFA),"Union of Democrats ""For Lithuania""",201945,92.6,1083,1170,,False,False
Vivien Costanzo,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,256937,98.6,1154,1170,,False,False
Vladimir Prebilič,Slovenia,Greens/European Free Alliance (Greens/EFA),Group of the Greens/European Free Alliance,256813,99.8,1168,1170,,False,False
Volker Schnurrbusch,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,267485,98.5,1152,1170,,False,False
Vytenis Andriukaitis,Lithuania,European People's Party (EPP),Social Democratic Party of Lithuania,119652,0,0,0,,False,False
Waldemar Buda,Poland,European Conservatives and Reformists (ECR),Law and Justice,99878,89.1,1042,1170,,False,False
Waldemar Tomaszewski,Lithuania,European Conservatives and Reformists (ECR),Electoral Action of Poles in Lithuania,96697,77.7,909,1170,,False,False
Wouter Beke,Belgium,European People's Party (EPP),Christian Democratic and Flemish,256887,93.8,1098,1170,,False,False
Yana Toom,Estonia,European People's Party (EPP),Estonian Centre Party,124700,0,0,0,,False,False
Younous Omarjee,France,The Left in the European Parliament (GUE/NGL),Reunionese Communist Party,30482,81.3,951,1170,,False,False
Yvan Verougstraete,Belgium,Renew Europe (RE),Renew Europe Group,256879,58.9,689,1170,,False,False
Zala Tomašič,Slovenia,European People's Party (EPP),Slovenian Democratic Party,256814,99.1,1160,1170,,False,False
Zoltán Tarr,Hungary,European People's Party (EPP),Respect and Freedom Party,256863,46.6,545,1170,,False,False
Zsuzsanna Borvendég,Hungary,Europe of Sovereign Nations (ESN),Europe of Sovereign Nations Group,257457,97.9,1145,1170,,False,False
Éric Sargiacomo,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,256905,0,0,0,,False,False
Özlem Demirel,Germany,The Left in the European Parliament (GUE/NGL),Party of Democratic Socialism,197468,78.3,916,1170,,False,False
Ľubica Karvašová,Slovakia,Renew Europe (RE),Renew Europe Group,257013,90.3,1057,1170,,False,False
Ľudovít Ódor,Slovakia,Renew Europe (RE),Renew Europe Group,257010,77.5,907,1170,,False,False
Łukasz Kohut,Poland,European People's Party (EPP),Civic Coalition,197523,99.3,1162,1170,,False,False
Željana Zovko,Croatia,European People's Party (EPP),Croatian Democratic Union,185341,59.8,700,1170,,False,False
Bernd Lange,Germany,Progressive Alliance of Socialists and Democrats (S&D),Sozialdemokratische Partei Deutschlands,1909,0,0,0,,False,False
Oihane AGIRREGOITIA MARTÍNEZ,Spain,Renew Europe (RE),Partido Nacionalista Vasco,256987,0,0,0,,False,False
Pernando BARRENA ARZA,Spain,The Left in the European Parliament (GUE/NGL),EH BILDU,197684,0,0,0,,False,False
Isabel BENJUMEA BENJUMEA,Spain,European People's Party (EPP),Partido Popular,197679,0,0,0,,False,False
Pilar DEL CASTILLO VERA,Spain,European People's Party (EPP),Partido Popular,28390,0,0,0,,False,False
Carmen CRESPO DÍAZ,Spain,European People's Party (EPP),Partido Popular,257034,0,0,0,,False,False
Rosa ESTARÀS FERRAGUT,Spain,European People's Party (EPP),Partido Popular,96811,0,0,0,,False,False
Alma EZCURRA ALMANSA,Spain,European People's Party (EPP),Partido Popular,257035,0,0,0,,False,False
Lina GÁLVEZ,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,197702,0,0,0,,False,False
Iratxe GARCÍA PÉREZ,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,28298,0,0,0,,False,False
Juan Carlos GIRAUTA VIDAL,Spain,The Patriots for Europe (PfE),VOX,125052,0,0,0,,False,False
Esther HERRANZ GARCÍA,Spain,European People's Party (EPP),Partido Popular,22418,0,0,0,,False,False
Nora JUNCO GARCÍA,Spain,European Conservatives and Reformists (ECR),Independiente,257022,0,0,0,,False,False
Javi LÓPEZ,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partit dels Socialistes de Catalunya (PSC-PSOE),125042,0,0,0,,False,False
Juan Fernando LÓPEZ AGUILAR,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,96812,0,0,0,,False,False
César LUENA,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,197721,0,0,0,,False,False
Vicent MARZÀ IBÁÑEZ,Spain,Greens/European Free Alliance (Greens/EFA),Compromís,257016,0,0,0,,False,False
Gabriel MATO,Spain,European People's Party (EPP),Partido Popular,96936,0,0,0,,False,False
Idoia MENDIA,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,256994,0,0,0,,False,False
Irene MONTERO,Spain,The Left in the European Parliament (GUE/NGL),PODEMOS,245770,0,0,0,,False,False
Dolors MONTSERRAT,Spain,European People's Party (EPP),Partido Popular,197711,0,0,0,,False,False
Diana RIBA I GINER,Spain,Greens/European Free Alliance (Greens/EFA),Esquerra Republicana de Catalunya,197832,0,0,0,,False,False
Elena SANCHO MURILLO,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,257001,0,0,0,,False,False
Rosa SERRANO SIERRA,Spain,Progressive Alliance of Socialists and Democrats (S&D),Partido Socialista Obrero Español,256999,0,0,0,,False,False
Isabel SERRA SÁNCHEZ,Spain,The Left in the European Parliament (GUE/NGL),PODEMOS,257009,0,0,0,,False,False
Juan Ignacio ZOIDO ÁLVAREZ,Spain,European People's Party (EPP),Partido Popular,197621,0,0,0,,False,False
Chiara GEMMA,Italy,European Conservatives and Reformists (ECR),FRATELLI D' ITALIA,197794,0,0,0,,False,False
Mimmo LUCANO,Italy,The Left in the European Parliament (GUE/NGL),Alleanza Verdi e Sinistra,257129,0,0,0,,False,False
Ignazio Roberto MARINO,Italy,Greens/European Free Alliance (Greens/EFA),Independent,257132,0,0,0,,False,False
Gaetano PEDULLA',Italy,The Left in the European Parliament (GUE/NGL),Movimento 5 Stelle,257126,0,0,0,,False,False
Pina PICIERNO,Italy,Progressive Alliance of Socialists and Democrats (S&D),Partito Democratico,124846,0,0,0,,False,False
Giusi PRINCI,Italy,European People's Party (EPP),Forza Italia,257128,0,0,0,,False,False
Joachim Stanisław BRUDZIŃSKI,Poland,European Conservatives and Reformists (ECR),Prawo i Sprawiedliwość,197501,0,0,0,,False,False
Michał DWORCZYK,Poland,European Conservatives and Reformists (ECR),Prawo i Sprawiedliwość,257076,0,0,0,,False,False
Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,European People's Party (EPP),Platforma Obywatelska,96791,0,0,0,,False,False
Jagna MARCZUŁAJTIS-WALCZAK,Poland,European People's Party (EPP),Platforma Obywatelska,257082,0,0,0,,False,False
Bogdan Andrzej ZDROJEWSKI,Poland,European People's Party (EPP),Platforma Obywatelska,124893,0,0,0,,False,False
Georgios AFTIAS,Greece,European People's Party (EPP),Nea Demokratia,256820,0,0,0,,False,False
Nikolaos ANADIOTIS,Greece,Non-attached (NI),Dimokratikó Patriotikó Kínima «NIKI»,256858,0,0,0,,False,False
Konstantinos ARVANITIS,Greece,The Left in the European Parliament (GUE/NGL),Coalition of the Radical Left,197701,0,0,0,,False,False
Emmanouil KEFALOGIANNIS,Greece,European People's Party (EPP),Nea Demokratia,125068,0,0,0,,False,False
Yannis MANIATIS,Greece,Progressive Alliance of Socialists and Democrats (S&D),PASOK-KINAL,256824,0,0,0,,False,False
Vangelis MEIMARAKIS,Greece,European People's Party (EPP),Nea Demokratia,197662,0,0,0,,False,False
Kostas PAPADAKIS,Greece,Non-attached (NI),Communist Party of Greece,125093,0,0,0,,False,False
Elissavet VOZEMBERG-VRIONIDI,Greece,European People's Party (EPP),Nea Demokratia,125065,0,0,0,,False,False
Adrian-George AXINIA,Romania,European Conservatives and Reformists (ECR),Alianța pentru Unirea Românilor,257117,0,0,0,,False,False
Dragoş BENEA,Romania,Progressive Alliance of Socialists and Democrats (S&D),Partidul Social Democrat,197658,0,0,0,,False,False
Ioan-Rareş BOGDAN,Romania,European People's Party (EPP),Partidul Naţional Liberal,197636,0,0,0,,False,False
Andi CRISTEA,Romania,Progressive Alliance of Socialists and Democrats (S&D),Partidul Social Democrat,40224,0,0,0,,False,False
Mircea-Gheorghe HAVA,Romania,European People's Party (EPP),Partidul Naţional Liberal,197646,0,0,0,,False,False
Diana IOVANOVICI ŞOŞOACĂ,Romania,Non-attached (NI),S.O.S. România,257120,0,0,0,,False,False
Luis-Vicențiu LAZARUS,Romania,Non-attached (NI),S.O.S. România,257118,0,0,0,,False,False
Claudiu MANDA,Romania,Progressive Alliance of Socialists and Democrats (S&D),Partidul Social Democrat,197653,0,0,0,,False,False
Dan-Ştefan MOTREANU,Romania,European People's Party (EPP),Partidul Naţional Liberal,197647,0,0,0,,False,False
Siegfried MUREŞAN,Romania,European People's Party (EPP),Partidul Naţional Liberal,124802,0,0,0,,False,False
Ştefan MUŞOIU,Romania,Progressive Alliance of Socialists and Democrats (S&D),Partidul Social Democrat,257103,0,0,0,,False,False
Virgil-Daniel POPESCU,Romania,European People's Party (EPP),Partidul Naţional Liberal,257107,0,0,0,,False,False
Şerban Dimitrie STURDZA,Romania,European Conservatives and Reformists (ECR),Partidul Acțiunea Conservatoare,257119,0,0,0,,False,False
Claudiu-Richard TÂRZIU,Romania,European Conservatives and Reformists (ECR),Partidul Acțiunea Conservatoare,257114,0,0,0,,False,False
Cristian TERHEŞ,Romania,European Conservatives and Reformists (ECR),Partidului Național Conservator Român (PNCR),197655,0,0,0,,False,False
Adina VĂLEAN,Romania,European People's Party (EPP),Partidul Naţional Liberal,37324,0,0,0,,False,False
Vlad VASILE-VOICULESCU,Romania,Renew Europe (RE),Uniunea Salvați România,257112,0,0,0,,False,False
