vote_id,vote_date,title,result,olp_stage,total_for,total_against,total_abstain,source_url
177046,2025-06-17 12:54:28,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,289,347,25,https://www.europarl.europa.eu/plenary/en/votes/177046.xml
177047,2025-06-17 12:54:41,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,300,339,27,https://www.europarl.europa.eu/plenary/en/votes/177047.xml
177049,2025-06-17 12:54:56,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,591,46,32,https://www.europarl.europa.eu/plenary/en/votes/177049.xml
177050,2025-06-17 12:55:09,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,327,250,81,https://www.europarl.europa.eu/plenary/en/votes/177050.xml
177052,2025-06-17 12:55:23,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,585,43,35,https://www.europarl.europa.eu/plenary/en/votes/177052.xml
177053,2025-06-17 12:55:35,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,321,272,64,https://www.europarl.europa.eu/plenary/en/votes/177053.xml
177054,2025-06-17 12:55:47,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,291,356,16,https://www.europarl.europa.eu/plenary/en/votes/177054.xml
177055,2025-06-17 12:56:02,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,282,340,26,https://www.europarl.europa.eu/plenary/en/votes/177055.xml
177061,2025-06-18 12:05:26,Adoption by the Union of the Agreement on the interpretation and application of the Energy Charter Treaty,ADOPTED,OLP_FIRST_READING,554,53,37,https://www.europarl.europa.eu/plenary/en/votes/177061.xml
177125,2025-06-16 17:28:23,"Ordre du jour de mardi - Demande des groupes PPE, S&D et Renew",,,300,66,77,https://www.europarl.europa.eu/plenary/en/votes/177125.xml
177126,2025-06-16 17:28:43,Ordre du jour de mardi - Demande du groupe The Left,,,65,338,24,https://www.europarl.europa.eu/plenary/en/votes/177126.xml
177127,2025-06-18 12:25:41,2023 and 2024 reports on Montenegro,REJECTED,,92,530,28,https://www.europarl.europa.eu/plenary/en/votes/177127.xml
177128,2025-06-18 12:25:54,2023 and 2024 reports on Montenegro,REJECTED,,96,528,20,https://www.europarl.europa.eu/plenary/en/votes/177128.xml
177129,2025-06-18 12:26:06,2023 and 2024 reports on Montenegro,REJECTED,,118,516,18,https://www.europarl.europa.eu/plenary/en/votes/177129.xml
177130,2025-06-18 12:26:18,2023 and 2024 reports on Montenegro,REJECTED,,106,518,21,https://www.europarl.europa.eu/plenary/en/votes/177130.xml
177133,2025-06-18 12:26:59,2023 and 2024 reports on Montenegro,REJECTED,,108,514,25,https://www.europarl.europa.eu/plenary/en/votes/177133.xml
177134,2025-06-18 12:27:10,2023 and 2024 reports on Montenegro,REJECTED,,102,524,24,https://www.europarl.europa.eu/plenary/en/votes/177134.xml
177135,2025-06-18 12:27:27,2023 and 2024 reports on Montenegro,ADOPTED,,470,102,77,https://www.europarl.europa.eu/plenary/en/votes/177135.xml
177136,2025-06-18 12:27:46,2023 and 2024 reports on Moldova,REJECTED,,110,525,19,https://www.europarl.europa.eu/plenary/en/votes/177136.xml
177137,2025-06-18 12:28:01,2023 and 2024 reports on Moldova,REJECTED,,99,517,24,https://www.europarl.europa.eu/plenary/en/votes/177137.xml
177138,2025-06-18 12:28:15,2023 and 2024 reports on Moldova,REJECTED,,105,520,17,https://www.europarl.europa.eu/plenary/en/votes/177138.xml
177140,2025-06-18 12:28:32,2023 and 2024 reports on Moldova,REJECTED,,265,303,84,https://www.europarl.europa.eu/plenary/en/votes/177140.xml
177142,2025-06-18 12:28:50,2023 and 2024 reports on Moldova,REJECTED,,149,283,219,https://www.europarl.europa.eu/plenary/en/votes/177142.xml
177143,2025-06-18 12:29:03,2023 and 2024 reports on Moldova,REJECTED,,107,508,32,https://www.europarl.europa.eu/plenary/en/votes/177143.xml
177144,2025-06-18 12:29:16,2023 and 2024 reports on Moldova,ADOPTED,,493,130,27,https://www.europarl.europa.eu/plenary/en/votes/177144.xml
177145,2025-06-18 12:29:32,2023 and 2024 reports on Moldova,REJECTED,,120,511,21,https://www.europarl.europa.eu/plenary/en/votes/177145.xml
177149,2025-06-18 12:29:52,2023 and 2024 reports on Moldova,REJECTED,,105,531,17,https://www.europarl.europa.eu/plenary/en/votes/177149.xml
177156,2025-06-18 12:30:18,2023 and 2024 reports on Moldova,ADOPTED,,469,97,83,https://www.europarl.europa.eu/plenary/en/votes/177156.xml
