name,country,party,national_party,profile_url,mep_id,photo_url
Pierfrancesco Maran,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257727,257727.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719914508683%2020240702%20MARAN%20Pierfrancesco%20IT%20016.jpg
Pierre Jouvet,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/256898,256898.0,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Jouvet%20%C3%A0%20Tournon-sur-Rh%C3%B4ne%2002.jpg
Pierre Pimpie,France,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256893,256893.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719411477121%2020240626%20PIMPIE%20Pierre%20FR%20009.jpg
Pierre-Romain Thionnet,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/200345,200345.0,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Romain%20Thionnet%20Forum%20RNJ-Jeunes%20Avec%20Bardella%202024-02-28.jpg
Pietro Fiocchi,Italy,European Conservatives and Reformists Group,Brothers of Italy,https://www.europarl.europa.eu/meps/en/197607,197607.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810449187%2020240619%20FIOCCHI%20Pietro%20IT%20007.jpg
Pilar del Castillo,Spain,Group of the European People's Party (Christian Democrats),Communist Organization of Spain,https://www.europarl.europa.eu/meps/en/28390,28390.0,http://commons.wikimedia.org/wiki/Special:FilePath/Pilar%20del%20Castillo%20Eurodiputada.jpg
Piotr Müller,Polish People's Republic,European Conservatives and Reformists Group,Law and Justice,https://www.europarl.europa.eu/meps/en/257080,257080.0,http://commons.wikimedia.org/wiki/Special:FilePath/Piotr-muller-2022.jpg
Pál Szekeres,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/256855,256855.0,http://commons.wikimedia.org/wiki/Special:FilePath/SzekeresPalFotoThalerTamas.JPG
Pär Holmgren,Sweden,Group of the Greens/European Free Alliance,Green Party,https://www.europarl.europa.eu/meps/en/197398,197398.0,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A4r%20Holmgren%202014.jpg
Péter Magyar,Hungary,Group of the European People's Party (Christian Democrats),Respect and Freedom Party,https://www.europarl.europa.eu/meps/en/256868,256868.0,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A9ter%20Magyar%20MEP%20%282024%29.jpg
Rachel Blom,Kingdom of the Netherlands,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256998,256998.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281946101%2020240612%20Rachel%20Blom%20NL%20007.jpg
Rada Laykova,Bulgaria,Europe of Sovereign Nations Group,,https://www.europarl.europa.eu/meps/en/257262,257262.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718870320889%2020240619%20LAYKOVA%20Rada%20BG%20007.jpg
Radan Kanev,Bulgaria,Group of the European People's Party (Christian Democrats),Democrats for a Strong Bulgaria,https://www.europarl.europa.eu/meps/en/197839,197839.0,http://commons.wikimedia.org/wiki/Special:FilePath/Radan%20Kanev%20%2843NS%29.png
